participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.label,player.q_first_q1,player.q_first_q2,player.q_first_q3,player.q_first_q4,player.q_first_q5,player.q_first_q6,player.private_2_q1,player.private_2_q2,player.private_2_q3,player.private_2_q4,player.private_3_q1,player.private_3_q2,player.exact_2_q1,player.exact_3_q1,player.public_2_q1,player.public_2_q2,player.public_2_q3,player.public_2_q4,player.public_3_q1,player.public_3_q2,player.public_3_q3,player.private_wide_2_q1,player.private_wide_2_q2,player.private_wide_2_q3,player.private_wide_2_q4,player.private_wide_3_q1,player.private_wide_3_q2,player.public_wide_2_q1,player.public_wide_2_q2,player.public_wide_2_q3,player.public_wide_2_q4,player.public_wide_3_q1,player.public_wide_3_q2,player.public_wide_3_q3,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,8ipg16a0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.004339+00:00,0,1,,,1,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
2,z9p4rgyg,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.101762+00:00,0,1,,,2,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
3,6k44e0at,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.140131+00:00,0,1,,,3,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
4,563ccush,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.173845+00:00,0,1,,,4,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
5,xikdd9ko,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.213855+00:00,0,1,,,5,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
6,81442h6q,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.251339+00:00,0,1,,,6,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
7,fhe3kfbp,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.288277+00:00,0,1,,,7,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
8,yunn6aiv,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.326159+00:00,0,1,,,8,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
9,0wuli0er,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.362396+00:00,0,1,,,9,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
10,mf73bp7p,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.403127+00:00,0,1,,,10,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
11,wraycnx1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.444998+00:00,0,1,,,11,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
12,5ue29gqj,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.479539+00:00,0,1,,,12,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
13,hnqwdt2p,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-19 00:39:31.515952+00:00,0,1,,,13,,True,True,True,True,True,True,,,,,,,,,,,,,,,,True,True,True,3,True,2,,,,,,,,0.00,1,1,quizes,4lp3gjkr,,,,,,,,0
