participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.varied_mpcr_game,subsession.treatment,subsession.signalVariance,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,a2gd4wt8,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.691747+00:00,0,1,,,1,3,4.00,0.35,9.50,0.00,0.00,1,14.00,3.50,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
2,7lmsy7wo,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.709549+00:00,0,1,,,2,3,3.00,0.15,10.50,0.00,0.00,1,14.00,3.50,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
3,kc1idwvp,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.728940+00:00,0,1,,,3,3,7.00,0.35,6.50,0.00,0.00,1,14.00,3.50,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
4,0zs6vg11,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.747106+00:00,0,1,,,4,3,0.00,0.25,13.50,0.00,0.00,1,14.00,3.50,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
5,dmllut7r,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.765556+00:00,0,1,,,1,3,0.00,0.15,15.00,0.00,0.00,2,20.00,5.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
6,0ed2tqmi,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.783205+00:00,0,1,,,2,3,9.00,0.25,6.00,0.00,0.00,2,20.00,5.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
7,0bp4d6ez,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.806379+00:00,0,1,,,3,3,7.00,0.15,8.00,0.00,0.00,2,20.00,5.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
8,nq3msc58,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.830191+00:00,0,1,,,4,3,4.00,0.05,11.00,0.00,0.00,2,20.00,5.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
9,ir3o2b48,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.852455+00:00,0,1,,,1,3,3.00,0.15,11.25,0.00,0.00,3,17.00,4.25,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
10,5ichhh8s,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.870846+00:00,0,1,,,2,3,1.00,0.15,13.25,0.00,0.00,3,17.00,4.25,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
11,cfd9t4lw,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.891016+00:00,0,1,,,3,3,9.00,0.15,5.25,0.00,0.00,3,17.00,4.25,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
12,nz7d3ien,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.912706+00:00,0,1,,,4,3,4.00,0.15,10.25,0.00,0.00,3,17.00,4.25,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
13,kiuk9bmv,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.930778+00:00,0,1,,,1,3,10.00,0.35,8.00,0.00,0.00,4,32.00,8.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
14,zlyurzl9,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.948433+00:00,0,1,,,2,3,4.00,0.45,14.00,0.00,0.00,4,32.00,8.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
15,niz94pzj,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.965136+00:00,0,1,,,3,3,9.00,0.25,9.00,0.00,0.00,4,32.00,8.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
16,f21bm46o,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.982977+00:00,0,1,,,4,3,9.00,0.05,9.00,0.00,0.00,4,32.00,8.00,0.25,1,0,1,1,4,0,3,2,1v128z8l,,,,,,,,0
1,a2gd4wt8,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.691747+00:00,0,1,,,1,3,2.00,0.35,14.50,0.00,0.00,1,26.00,6.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
2,7lmsy7wo,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.709549+00:00,0,1,,,2,3,5.00,0.15,11.50,0.00,0.00,1,26.00,6.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
3,kc1idwvp,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.728940+00:00,0,1,,,3,3,10.00,0.35,6.50,0.00,0.00,1,26.00,6.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
4,0zs6vg11,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.747106+00:00,0,1,,,4,3,9.00,0.25,7.50,0.00,0.00,1,26.00,6.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
5,dmllut7r,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.765556+00:00,0,1,,,1,3,1.00,0.15,14.50,0.00,0.00,2,22.00,5.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
6,0ed2tqmi,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.783205+00:00,0,1,,,2,3,6.00,0.25,9.50,0.00,0.00,2,22.00,5.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
7,0bp4d6ez,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.806379+00:00,0,1,,,3,3,6.00,0.15,9.50,0.00,0.00,2,22.00,5.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
8,nq3msc58,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.830191+00:00,0,1,,,4,3,9.00,0.05,6.50,0.00,0.00,2,22.00,5.50,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
9,ir3o2b48,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.852455+00:00,0,1,,,1,3,7.00,0.15,9.75,0.00,0.00,3,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
10,5ichhh8s,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.870846+00:00,0,1,,,2,3,7.00,0.15,9.75,0.00,0.00,3,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
11,cfd9t4lw,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.891016+00:00,0,1,,,3,3,8.00,0.15,8.75,0.00,0.00,3,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
12,nz7d3ien,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.912706+00:00,0,1,,,4,3,5.00,0.15,11.75,0.00,0.00,3,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
13,kiuk9bmv,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.930778+00:00,0,1,,,1,3,4.00,0.35,12.75,0.00,0.00,4,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
14,zlyurzl9,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.948433+00:00,0,1,,,2,3,9.00,0.45,7.75,0.00,0.00,4,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
15,niz94pzj,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.965136+00:00,0,1,,,3,3,8.00,0.25,8.75,0.00,0.00,4,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
16,f21bm46o,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.982977+00:00,0,1,,,4,3,6.00,0.05,10.75,0.00,0.00,4,27.00,6.75,0.25,2,0,1,2,4,0,3,2,1v128z8l,,,,,,,,0
1,a2gd4wt8,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.691747+00:00,0,1,,,1,3,0.00,0.35,13.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,1v128z8l,,,,,,,,0
2,7lmsy7wo,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.709549+00:00,0,1,,,2,3,7.00,0.15,6.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,1v128z8l,,,,,,,,0
3,kc1idwvp,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.728940+00:00,0,1,,,3,3,0.00,0.35,13.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,1v128z8l,,,,,,,,0
4,0zs6vg11,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.747106+00:00,0,1,,,4,3,5.00,0.25,8.00,0.00,0.00,1,12.00,3.00,0.25,3,0,1,3,4,0,3,2,1v128z8l,,,,,,,,0
5,dmllut7r,,1,189,188,public_goods,32,ResultsSummary,127.0.0.1,2017-01-05 22:40:15.765556+00:00,0,1,,,1,3,10.00,0.15,5.00,0.00,0.00,2,20.00,5.00,0.25,3,0,1,3,4,0,3,2,1v128z8l,,,,,,,,0
