participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.round_points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ci2linjn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.580652+00:00,0,1,,,1,3,1.00,0.55,,0.00,1,15.00,8.25,0.55,1,training,vibtn23n,,,,,,,,0
2,hpmu7hez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.644752+00:00,0,1,,,2,3,5.00,0.35,,0.00,1,15.00,8.25,0.55,1,training,vibtn23n,,,,,,,,0
3,h6nhwudi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.665521+00:00,0,1,,,3,3,9.00,0.55,,0.00,1,15.00,8.25,0.55,1,training,vibtn23n,,,,,,,,0
4,mk2595p8,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.685744+00:00,0,1,,,4,3,0.00,0.35,,0.00,1,15.00,8.25,0.55,1,training,vibtn23n,,,,,,,,0
5,hn3o5zzt,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.705818+00:00,0,1,,,1,3,4.00,0.65,,0.00,2,23.00,12.65,0.55,1,training,vibtn23n,,,,,,,,0
6,g5ukhzqf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.728293+00:00,0,1,,,2,3,4.00,0.35,,0.00,2,23.00,12.65,0.55,1,training,vibtn23n,,,,,,,,0
7,xa1c49ch,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.748770+00:00,0,1,,,3,3,8.00,0.35,,0.00,2,23.00,12.65,0.55,1,training,vibtn23n,,,,,,,,0
8,u283tbzt,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.769990+00:00,0,1,,,4,3,7.00,0.45,,0.00,2,23.00,12.65,0.55,1,training,vibtn23n,,,,,,,,0
9,x2clxuiu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.792156+00:00,0,1,,,1,3,2.00,0.65,,0.00,3,16.00,8.80,0.55,1,training,vibtn23n,,,,,,,,0
10,1em48of6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.812209+00:00,0,1,,,2,3,1.00,0.75,,0.00,3,16.00,8.80,0.55,1,training,vibtn23n,,,,,,,,0
11,mvxfgsxa,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.835189+00:00,0,1,,,3,3,7.00,0.45,,0.00,3,16.00,8.80,0.55,1,training,vibtn23n,,,,,,,,0
12,5gkyg04c,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.855436+00:00,0,1,,,4,3,6.00,0.75,,0.00,3,16.00,8.80,0.55,1,training,vibtn23n,,,,,,,,0
13,ux50lhgl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.875827+00:00,0,1,,,1,3,8.00,0.45,,0.00,4,18.00,9.90,0.55,1,training,vibtn23n,,,,,,,,0
14,0u1hmweg,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:52:57.902177+00:00,0,1,,,2,3,1.00,0.35,,0.00,4,18.00,9.90,0.55,1,training,vibtn23n,,,,,,,,0
