participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.varied_mpcr_game,subsession.treatment,subsession.signalVariance,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ihcc9pv5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.398254+00:00,0,1,,,1,3,0.00,0.35,14.75,0.00,0.00,1,19.00,4.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
2,1af9pjad,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.413824+00:00,0,1,,,2,3,6.00,0.25,8.75,0.00,0.00,1,19.00,4.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
3,yiq2p29g,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.427932+00:00,0,1,,,3,3,5.00,0.45,9.75,0.00,0.00,1,19.00,4.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
4,ic55yfis,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.441928+00:00,0,1,,,4,3,8.00,0.25,6.75,0.00,0.00,1,19.00,4.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
5,r9hdznpd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.455934+00:00,0,1,,,1,3,3.00,0.05,10.75,0.00,0.00,2,15.00,3.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
6,ma0aqrif,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.470187+00:00,0,1,,,2,3,5.00,0.45,8.75,0.00,0.00,2,15.00,3.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
7,jwzd0ss5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.484933+00:00,0,1,,,3,3,4.00,0.15,9.75,0.00,0.00,2,15.00,3.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
8,fne9432s,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.499443+00:00,0,1,,,4,3,3.00,0.05,10.75,0.00,0.00,2,15.00,3.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
9,om5bu5gl,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.513748+00:00,0,1,,,1,3,5.00,0.05,12.75,0.00,0.00,3,31.00,7.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
10,b6q0ne2t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.527815+00:00,0,1,,,2,3,9.00,0.25,8.75,0.00,0.00,3,31.00,7.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
11,yne3y5ay,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.543144+00:00,0,1,,,3,3,7.00,0.25,10.75,0.00,0.00,3,31.00,7.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
12,p7i5ibfb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.858887+00:00,0,1,,,4,3,10.00,0.35,7.75,0.00,0.00,3,31.00,7.75,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
13,hw4c6ifo,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.873324+00:00,0,1,,,1,3,0.00,0.15,15.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
14,tnws2zkn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.887610+00:00,0,1,,,2,3,8.00,0.45,7.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
15,v5d8ntkn,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 15:42:54.902137+00:00,0,1,,,3,3,7.00,0.35,8.50,0.00,0.00,4,22.00,5.50,0.25,1,0,1,1,4,0,3,2,ywj8s98o,,,,,,,,0
