participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,subsession.paying_game,subsession.game_number,subsession.game_round,subsession.mpcr_order,subsession.varied_mpcr_game,subsession.treatment,subsession.signalVariance,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,5dgk7tlt,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.648478+00:00,0,1,,,1,3,3.00,0.15,10.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
2,2xak4iwm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.672453+00:00,0,1,,,2,3,5.00,0.45,8.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
3,n0jcwjfh,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.697999+00:00,0,1,,,3,3,5.00,0.45,8.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
4,olv9oro0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.724998+00:00,0,1,,,4,3,2.00,0.45,11.75,0.00,0.00,1,15.00,3.75,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
5,9u28gdiw,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.747465+00:00,0,1,,,1,3,6.00,0.15,8.50,0.00,0.00,2,18.00,4.50,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
6,yuzphkcv,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.771314+00:00,0,1,,,2,3,3.00,0.05,11.50,0.00,0.00,2,18.00,4.50,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
7,0vp2bxen,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.795286+00:00,0,1,,,3,3,6.00,0.05,8.50,0.00,0.00,2,18.00,4.50,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
8,hnkqeo3i,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.818804+00:00,0,1,,,4,3,3.00,0.25,11.50,0.00,0.00,2,18.00,4.50,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
9,r2ka0rkk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.844847+00:00,0,1,,,1,3,2.00,0.05,14.25,0.00,0.00,3,25.00,6.25,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
10,1umsh79f,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.869999+00:00,0,1,,,2,3,10.00,0.45,6.25,0.00,0.00,3,25.00,6.25,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
11,5scuqsws,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.897391+00:00,0,1,,,3,3,10.00,0.25,6.25,0.00,0.00,3,25.00,6.25,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
12,c6iaosn3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.921975+00:00,0,1,,,4,3,3.00,0.35,13.25,0.00,0.00,3,25.00,6.25,0.25,1,0,1,1,4,0,3,2,1lclcmxp,,,,,,,,0
