participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.label,player.q_first_q1,player.q_first_q2,player.q_first_q3,player.q_first_q4,player.q_first_q5,player.q_first_q6,player.private_2_q1,player.private_2_q2,player.private_2_q3,player.private_2_q4,player.private_3_q1,player.private_3_q2,player.exact_2_q1,player.exact_3_q1,player.public_2_q1,player.public_2_q2,player.public_2_q3,player.public_2_q4,player.public_3_q1,player.public_3_q2,player.public_3_q3,player.private_wide_2_q1,player.private_wide_2_q2,player.private_wide_2_q3,player.private_wide_2_q4,player.private_wide_3_q1,player.private_wide_3_q2,player.public_wide_2_q1,player.public_wide_2_q2,player.public_wide_2_q3,player.public_wide_2_q4,player.public_wide_3_q1,player.public_wide_3_q2,player.public_wide_3_q3,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,5dgk7tlt,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.648478+00:00,0,1,,,1,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
2,2xak4iwm,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.672453+00:00,0,1,,,2,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
3,n0jcwjfh,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.697999+00:00,0,1,,,3,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
4,olv9oro0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.724998+00:00,0,1,,,4,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
5,9u28gdiw,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.747465+00:00,0,1,,,5,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
6,yuzphkcv,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.771314+00:00,0,1,,,6,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
7,0vp2bxen,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.795286+00:00,0,1,,,7,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
8,hnkqeo3i,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.818804+00:00,0,1,,,8,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
9,r2ka0rkk,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.844847+00:00,0,1,,,9,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
10,1umsh79f,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-11 20:36:35.869999+00:00,0,1,,,10,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,1lclcmxp,,,,,,,,0
