participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.treatment,player.contribution,player.signal,player.hypothetical_points,player.payoff,group.id_in_subsession,group.total_contribution,group.individual_share,group.efficiency_rate,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,svmk2646,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.658391+00:00,0,1,,,1,3,7.00,0.65,12.35,0.00,1,17.00,9.35,0.55,1,ol91bo8g,,,,,,,,0
2,uc7o4q70,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.673678+00:00,0,1,,,2,3,7.00,0.65,12.35,0.00,1,17.00,9.35,0.55,1,ol91bo8g,,,,,,,,0
3,grkvuavy,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.687613+00:00,0,1,,,3,3,0.00,0.65,19.35,0.00,1,17.00,9.35,0.55,1,ol91bo8g,,,,,,,,0
4,ony2ei2u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.701693+00:00,0,1,,,4,3,3.00,0.35,16.35,0.00,1,17.00,9.35,0.55,1,ol91bo8g,,,,,,,,0
5,s4w1wtig,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.716116+00:00,0,1,,,1,3,2.00,0.85,27.95,0.00,2,21.00,19.95,0.95,1,ol91bo8g,,,,,,,,0
6,kkwfq8rf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.730331+00:00,0,1,,,2,3,8.00,0.85,21.95,0.00,2,21.00,19.95,0.95,1,ol91bo8g,,,,,,,,0
7,snungks9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.744319+00:00,0,1,,,3,3,5.00,1.15,24.95,0.00,2,21.00,19.95,0.95,1,ol91bo8g,,,,,,,,0
8,c7lkisia,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.758235+00:00,0,1,,,4,3,6.00,0.75,23.95,0.00,2,21.00,19.95,0.95,1,ol91bo8g,,,,,,,,0
9,ydn4gnu6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.772309+00:00,0,1,,,1,3,2.00,0.65,15.70,0.00,3,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
10,3eowy5mx,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.786158+00:00,0,1,,,2,3,8.00,0.55,9.70,0.00,3,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
11,7a2hqrzd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.800159+00:00,0,1,,,3,3,2.00,0.45,15.70,0.00,3,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
12,dt16a83h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.814471+00:00,0,1,,,4,3,2.00,0.75,15.70,0.00,3,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
13,givpg9ul,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.831714+00:00,0,1,,,1,3,0.00,0.55,17.70,0.00,4,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
14,vf5s5n55,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.846186+00:00,0,1,,,2,3,4.00,0.75,13.70,0.00,4,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
15,5ydkohrq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.860203+00:00,0,1,,,3,3,9.00,0.45,8.70,0.00,4,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
16,mbzomjf9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.874061+00:00,0,1,,,4,3,1.00,0.55,16.70,0.00,4,14.00,7.70,0.55,1,ol91bo8g,,,,,,,,0
1,svmk2646,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.658391+00:00,0,1,,,1,3,3.00,1.05,23.15,0.00,1,17.00,16.15,0.95,2,ol91bo8g,,,,,,,,0
