participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.label,player.q_first_q1,player.q_first_q2,player.q_first_q3,player.q_first_q4,player.q_first_q5,player.q_first_q6,player.private_2_q1,player.private_2_q2,player.private_2_q3,player.private_2_q4,player.private_3_q1,player.private_3_q2,player.exact_2_q1,player.exact_3_q1,player.public_2_q1,player.public_2_q2,player.public_2_q3,player.public_2_q4,player.public_3_q1,player.public_3_q2,player.public_3_q3,player.private_wide_2_q1,player.private_wide_2_q2,player.private_wide_2_q3,player.private_wide_2_q4,player.private_wide_3_q1,player.private_wide_3_q2,player.public_wide_2_q1,player.public_wide_2_q2,player.public_wide_2_q3,player.public_wide_2_q4,player.public_wide_3_q1,player.public_wide_3_q2,player.public_wide_3_q3,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,svmk2646,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.658391+00:00,0,1,,,1,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
2,uc7o4q70,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.673678+00:00,0,1,,,2,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
3,grkvuavy,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.687613+00:00,0,1,,,3,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
4,ony2ei2u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.701693+00:00,0,1,,,4,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
5,s4w1wtig,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.716116+00:00,0,1,,,5,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
6,kkwfq8rf,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.730331+00:00,0,1,,,6,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
7,snungks9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.744319+00:00,0,1,,,7,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
8,c7lkisia,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.758235+00:00,0,1,,,8,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
9,ydn4gnu6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.772309+00:00,0,1,,,9,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
10,3eowy5mx,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.786158+00:00,0,1,,,10,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
11,7a2hqrzd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.800159+00:00,0,1,,,11,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
12,dt16a83h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.814471+00:00,0,1,,,12,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
13,givpg9ul,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.831714+00:00,0,1,,,13,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
14,vf5s5n55,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.846186+00:00,0,1,,,14,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
15,5ydkohrq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.860203+00:00,0,1,,,15,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
16,mbzomjf9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-17 16:29:39.874061+00:00,0,1,,,16,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,ol91bo8g,,,,,,,,0
