participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.label,player.q_first_q1,player.q_first_q2,player.q_first_q3,player.q_first_q4,player.q_first_q5,player.q_first_q6,player.private_2_q1,player.private_2_q2,player.private_2_q3,player.private_2_q4,player.private_3_q1,player.private_3_q2,player.exact_2_q1,player.exact_3_q1,player.public_2_q1,player.public_2_q2,player.public_2_q3,player.public_2_q4,player.public_3_q1,player.public_3_q2,player.public_3_q3,player.private_wide_2_q1,player.private_wide_2_q2,player.private_wide_2_q3,player.private_wide_2_q4,player.private_wide_3_q1,player.private_wide_3_q2,player.public_wide_2_q1,player.public_wide_2_q2,player.public_wide_2_q3,player.public_wide_2_q4,player.public_wide_3_q1,player.public_wide_3_q2,player.public_wide_3_q3,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,wjddc53u,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.634812+00:00,0,1,,,1,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
2,tpnl3utb,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.656444+00:00,0,1,,,2,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
3,84r5ikez,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.678671+00:00,0,1,,,3,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
4,vohi22an,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.699226+00:00,0,1,,,4,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
5,t3cv1spd,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.720389+00:00,0,1,,,5,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
6,0epaoca5,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.749538+00:00,0,1,,,6,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
7,1zki37c6,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.772848+00:00,0,1,,,7,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
8,67u964fi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.794006+00:00,0,1,,,8,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
9,7i26z53h,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.816016+00:00,0,1,,,9,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
10,scek1yb0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.837580+00:00,0,1,,,10,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
11,0w0hf5q0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.858434+00:00,0,1,,,11,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
12,mzjbmxc3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.879518+00:00,0,1,,,12,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
13,cxs9ngxi,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.899907+00:00,0,1,,,13,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
14,pcjuhc6z,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.920859+00:00,0,1,,,14,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
15,uf1wb9sr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.941374+00:00,0,1,,,15,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
16,295zka6t,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 21:50:13.962157+00:00,0,1,,,16,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,g8a8f7pt,,,,,,,,0
