participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.label,player.q_first_q1,player.q_first_q2,player.q_first_q3,player.q_first_q4,player.q_first_q5,player.q_first_q6,player.private_2_q1,player.private_2_q2,player.private_2_q3,player.private_2_q4,player.private_3_q1,player.private_3_q2,player.exact_2_q1,player.exact_3_q1,player.public_2_q1,player.public_2_q2,player.public_2_q3,player.public_2_q4,player.public_3_q1,player.public_3_q2,player.public_3_q3,player.private_wide_2_q1,player.private_wide_2_q2,player.private_wide_2_q3,player.private_wide_2_q4,player.private_wide_3_q1,player.private_wide_3_q2,player.public_wide_2_q1,player.public_wide_2_q2,player.public_wide_2_q3,player.public_wide_2_q4,player.public_wide_3_q1,player.public_wide_3_q2,player.public_wide_3_q3,player.payoff,group.id_in_subsession,subsession.round_number,subsession.app_label,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,skwgx7w9,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:03.983413+00:00,0,1,,,1,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
2,2myeosw1,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.004426+00:00,0,1,,,2,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
3,leannft7,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.025966+00:00,0,1,,,3,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
4,3dxdtjd2,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.045682+00:00,0,1,,,4,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
5,8vzr4lbt,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.065646+00:00,0,1,,,5,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
6,61d0tszr,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.085213+00:00,0,1,,,6,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
7,7gtmx6vw,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.105148+00:00,0,1,,,7,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
8,hsc8uavg,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.126231+00:00,0,1,,,8,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
9,1olti0eu,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.148975+00:00,0,1,,,9,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
10,7l24p1wg,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.168747+00:00,0,1,,,10,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
11,bvapocn3,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.194570+00:00,0,1,,,11,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
12,j787h7vp,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.220970+00:00,0,1,,,12,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
13,xynhxo0g,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.241554+00:00,0,1,,,13,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
14,84g1bems,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.261739+00:00,0,1,,,14,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
15,n89d73k0,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.282117+00:00,0,1,,,15,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
16,7u4w0cmq,joe,1,203,203,payment_info,1,PaymentInfo,127.0.0.1,2017-01-18 22:13:04.303249+00:00,0,1,,,16,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,True,True,True,3,True,True,2,0.00,1,1,quizes,gqgqad96,,,,,,,,0
