participantcode,participantlabel,participanttime_started,playerid_in_group,playertreatment,playercontribution,playersignal,playerround_points,playerpayoff,groupid_in_subsession,grouptotal_contribution,groupindividual_share,groupefficiency_rate,subsessionround_number,subsessionapp_label,sessioncode,sessionlabel,sessionexperimenter_name,sessiontime_scheduled,sessiontime_started,sessioncomment,sessionis_demo,playerpoints,subsessionpaying_game,subsessiongame_number,subsessiongame_round,subsessionmpcr_order,subsessionvariable_mpcr_game,subsessionfixed_mpcr_game,subsessiontreatment,playerrisk_points,playerrisk_flip,playerrisk_choice,playerrisk_payoff,playeramb_chosen_game,playeramb_chosen_ball,playeramb_payoff,playeramb_points,playeramb_choice1_urn,playeramb_choice1_color,playeramb_choice2_urn,playeramb_choice2_color,playeramb_choice3_urn,playeramb_choice3_color,playeramb_choice4_urn,playeramb_choice4_color,playeramb_choice5_urn,playeramb_choice5_color,playeramb_choice6_urn,playeramb_choice6_color,playeramb_choice7_urn,playeramb_choice7_color,playeramb_choice8_urn,playeramb_choice8_color,playeramb_choice9_urn,playeramb_choice9_color,playeramb_choice10_urn,playeramb_choice10_color,playerq_race,playerq_age,playerq_gender,playerq_education,playerq_household,playerq_gpa,playerq_professional,playerq_decision,playerq_comments
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,6,1.15,27,0,3,20,23,1.15,32,"public_goods","3syq0vf6",,,,".",,0,0,0,4,8,1,1,,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,7,.55,10.15,0,1,13,7.15,.55,12,"public_goods","3syq0vf6",,,,".",,0,0,0,2,4,1,0,2,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,5,.95,22.1,1.11,2,18,17.1,.95,22,"public_goods","3syq0vf6",,,,".",,0,22.1,1,3,6,1,0,3,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",1,1,2,.25,10.5,0,4,10,2.5,.25,6,"public_goods","3syq0vf6",,,,".",,0,0,0,1,6,1,0,1,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,4,.95,27.85,1.39,2,23,21.85,.95,19,"public_goods","3syq0vf6",,,,".",,0,27.85,1,3,3,1,0,3,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,9,.95,16.2,.81,2,16,15.2,.95,18,"public_goods","3syq0vf6",,,,".",,0,16.2,1,3,2,1,0,3,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,1,.55,20,0,1,20,11,.55,16,"public_goods","3syq0vf6",,,,".",,0,0,0,2,8,1,0,2,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,1,.95,23.25,1.16,2,15,14.25,.95,23,"public_goods","3syq0vf6",,,,".",,0,23.25,1,3,7,1,0,3,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",1,1,3,.25,11.5,0,4,18,4.5,.25,8,"public_goods","3syq0vf6",,,,".",,0,0,0,1,8,1,0,1,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
"0h0s4ufy","joe","2017-01-19 14:32:46.780789+00:00",4,1,9,1.05,35.65,0,3,33,34.65,1.05,26,"public_goods","3syq0vf6",,,,".",,0,0,0,4,2,1,1,,1,28,1,3,1.4,6,0,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"White",27,"Male","Bacheler's degree",,"2.1","Employed for wages","Close my eyes","Great programming"
